UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,AUDIOBOOK,2021,8,13,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2013
Digital,OverDrive,AUDIOBOOK,2021,8,25,"A Dance with Dragons: A Song of Ice and Fire Series, Book 5 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2011
Digital,OverDrive,EBOOK,2021,8,1,"Beyond the Wall: Exploring George R. R. Martin's A Song of Ice and Fire, From A Game of Thrones to A Dance with Dragons",,James Lowder,"Fantasy, Fiction","Random House, Inc.",2012
Digital,OverDrive,AUDIOBOOK,2021,8,20,"A Storm of Swords: A Song of Ice and Fire Series, Book 3 (unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2009
Digital,OverDrive,EBOOK,2021,8,23,"A Clash of Kings: A Song of Ice and Fire Series, Book 2",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Digital,OverDrive,EBOOK,2021,8,47,"A Game of Thrones: A Song of Ice and Fire Series, Book 1",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2011
Digital,OverDrive,EBOOK,2021,8,12,"A Feast for Crows: A Song of Ice and Fire Series, Book 4",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2010
Digital,OverDrive,EBOOK,2021,8,11,"A Dance with Dragons: A Song of Ice and Fire Series, Book 5",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Digital,OverDrive,EBOOK,2021,8,7,"Fire & Blood: A Song of Ice and Fire Series, Book 0",,George R. R. Martin,"Fantasy, Fiction, Thriller","Random House, Inc.",2018
Digital,OverDrive,AUDIOBOOK,2021,8,3,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2021,8,28,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,EBOOK,2021,9,6,"Fire & Blood: A Song of Ice and Fire Series, Book 0",,George R. R. Martin,"Fantasy, Fiction, Thriller","Random House, Inc.",2018
Digital,OverDrive,EBOOK,2021,9,20,"A Clash of Kings: A Song of Ice and Fire Series, Book 2",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Digital,OverDrive,EBOOK,2021,9,28,"A Game of Thrones: A Song of Ice and Fire Series, Book 1",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2021,9,30,A Clash of Kings: A Song of Ice and Fire: Book Two (unabridged),,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2008
